individuo,mean_acc64,median_acc64,std_acc64,min_acc64,max_acc64,mean_loss64,median_loss64,std_loss64,min_loss64,max_loss64
5,0.5746527820825577,0.5833333432674408,0.0357655755351827,0.6197916716337204,0.46875,0.9106867849826813,0.9258711636066437,0.06994449513137153,1.0525052696466446,0.8021227121353149
9,0.6833333378036817,0.6510416716337204,0.09718253131987828,0.875,0.546875,0.7442057629426321,0.7543538808822632,0.1494251896553575,0.9626668244600296,0.5316232964396477
10,0.5782986145466567,0.6223958358168602,0.09589071628926768,0.6927083432674408,0.3541666679084301,0.9150070797652006,0.8420866653323174,0.1613802861744802,1.2655478417873383,0.726166021078825
11,0.6506944492459297,0.6484375074505806,0.04576093711982896,0.75,0.5572916716337204,0.7548951278130214,0.7730645164847374,0.07021648092521568,0.9067685306072235,0.6207299381494522
13,0.7741319497426351,0.7708333358168602,0.052489447238134,0.8697916716337204,0.6666666716337204,0.5523384554932514,0.5879246667027473,0.09031486434890706,0.7124370560050011,0.3779848963022232
18,0.9156250029802322,0.921875,0.03543708356333485,0.96875,0.8541666716337204,0.2501935522382458,0.26171934977173805,0.049184641406165824,0.31907815858721733,0.14224098809063435
20,0.8336805587013563,0.8307291716337204,0.052891870801815934,0.921875,0.7239583432674408,0.42888229905317227,0.4146352745592594,0.112564662487534,0.6179669760167599,0.22105034440755844
21,0.5666666713853677,0.5729166716337204,0.0537645318315643,0.6666666716337204,0.4635416716337204,0.9683636282881101,0.9875011444091797,0.08746647057312694,1.1158439666032791,0.7208883762359619
32,0.7569444492459297,0.7682291716337204,0.05060994732174689,0.8333333432674408,0.6302083432674408,0.558100533982118,0.5608919374644756,0.07149251552913137,0.7386376857757568,0.43415695801377296
33,0.7204861164093017,0.7291666716337204,0.0666901730503727,0.8072916716337204,0.6041666716337204,0.696210049589475,0.6525406241416931,0.09505273108413549,0.8779942691326141,0.5772503986954689
40,0.6472222278515498,0.6458333432674408,0.07066121565182798,0.765625,0.5,0.7403745184342067,0.7427738457918167,0.09977608550971569,0.8801263719797134,0.5525413155555725
43,0.6461805601914724,0.6666666716337204,0.08953621713518722,0.7916666716337204,0.4947916716337204,0.8089201048016548,0.8157700598239899,0.13385473967821754,1.0542071759700775,0.5763319209218025
46,0.7631944487492244,0.734375,0.05746082060608392,0.8645833432674408,0.6927083432674408,0.5623283420999845,0.5589766055345535,0.11112228351627933,0.7474471926689148,0.35154836624860764
61,0.6907986159125964,0.6927083432674408,0.04557382759377214,0.7708333432674408,0.59375,0.6758156438668569,0.6733685918152332,0.0540656051093747,0.7932920902967453,0.5589039400219917
68,0.7458333383003871,0.765625,0.07583924737287341,0.8645833432674408,0.6145833432674408,0.6137996112306913,0.6023542433977127,0.12445601774053244,0.8096190392971039,0.37182628363370895
71,0.7496527820825577,0.7447916716337204,0.04880170960043683,0.8385416716337204,0.671875,0.6121252382795016,0.6129477545619011,0.08264027501250856,0.7353604733943939,0.43446382880210876
72,0.7008680606881778,0.7031250074505806,0.06824948421182836,0.8177083432674408,0.5885416716337204,0.710991092522939,0.7285465709865093,0.11976680787873754,0.9229440987110138,0.5066505894064903
73,0.6479166726271312,0.671875,0.08348077236472687,0.7864583432674408,0.5052083432674408,0.8005834157268207,0.7951478809118271,0.1518745045907278,1.0510790050029755,0.5310545638203621
74,0.6343750049670537,0.6484375,0.09039522247486778,0.7760416716337204,0.4739583432674408,0.8810012467205525,0.8342882469296455,0.21032436778470812,1.2258299887180328,0.5712407529354095
75,0.5375000024835269,0.5260416716337204,0.057187406306633104,0.640625,0.4375,0.9663552492856979,0.9525894671678543,0.05103709663401937,1.0579891204833984,0.8553861081600189
76,0.6013888925313949,0.609375,0.05475332257340086,0.7552083432674408,0.5052083358168602,0.9059506063659986,0.8910266757011414,0.06609583686972842,1.0183270424604416,0.8031782060861588
81,0.7513888955116272,0.7708333432674408,0.0786318452154593,0.9010416716337204,0.5885416716337204,0.634156821668148,0.6731230840086937,0.11959145771546202,0.8027353882789612,0.3674183040857315
