individuo,mean_acc,median_acc,std_acc,min_acc,max_acc,mean_loss,median_loss,std_loss,min_loss,max_loss
103,0.4409722263614337,0.4479166716337204,0.03017039353410376,0.4739583358168602,0.4010416716337204,1.0485024849573772,1.0156333595514297,0.05083191640863869,1.1203043758869171,1.0095697194337845
91,0.543402781089147,0.5572916716337204,0.04779826179052275,0.59375,0.4791666716337204,0.9422910809516907,0.9539545625448227,0.0180011244181552,0.9560561031103134,0.9168625771999359
87,0.4913194452722867,0.515625,0.08260678536824051,0.578125,0.3802083358168602,0.9930973698695501,1.0289050787687302,0.05294616855206735,1.0321435034275055,0.9182435274124146
51,0.7690972288449606,0.7395833432674408,0.10209159574578106,0.90625,0.6614583432674408,0.5271739438176155,0.5953309834003448,0.22303083267706117,0.759797677397728,0.2263931706547737
42,0.579861119389534,0.6041666716337204,0.04195501978246986,0.6145833432674408,0.5208333432674408,0.9294557273387909,0.9254928082227707,0.06198776387397783,1.0072787702083588,0.8555956035852432
29,0.6406250049670538,0.65625,0.037797815247781086,0.6770833432674408,0.5885416716337204,0.7367246697346369,0.7563993632793427,0.04434863531766217,0.778461366891861,0.6753132790327072
35,0.5972222238779068,0.5416666716337204,0.09756264710043967,0.734375,0.515625,0.8682183374961218,0.9048221707344055,0.12863527992538734,1.0042396932840347,0.6955931484699249
12,0.5729166691501936,0.5260416716337204,0.09326649855710333,0.703125,0.4895833358168602,0.8404950648546219,0.8705713450908661,0.15937741716983525,1.0189079642295837,0.6320058852434158
4,0.8055555621782938,0.7916666716337204,0.03134630452386489,0.8489583432674408,0.7760416716337204,0.4073858857154846,0.3865289241075516,0.036232470248580936,0.4583474174141884,0.3772813156247139
49,0.5434027798473835,0.484375,0.18342077746753163,0.7916666716337204,0.3541666679084301,0.9657904108365377,1.0533275455236435,0.14011540553826402,1.0759745240211487,0.7680691629648209
6,0.605902781089147,0.609375,0.021404219048311978,0.6302083432674408,0.578125,0.8376452227433523,0.850238636136055,0.050511982325928365,0.8922438770532608,0.770453155040741
1,0.5885416716337204,0.5677083432674408,0.0947095965747656,0.7135416716337204,0.484375,0.9104301234086355,0.97426538169384,0.09522703978802091,0.9812065958976746,0.7758183926343918
69,0.4722222288449605,0.4635416716337204,0.012276161737091366,0.4895833432674408,0.4635416716337204,1.0754149158795674,1.0798108875751495,0.015684257839799386,1.0920451134443283,1.0543887466192245
56,0.6875000049670538,0.7395833432674408,0.1368778039009842,0.8229166716337204,0.5,0.6992640855411688,0.6220076531171799,0.2420566029386067,1.0267013758420944,0.44908322766423225
58,0.5034722263614336,0.515625,0.045471533175796296,0.5520833432674408,0.4427083358168602,0.9795024146636327,0.9792520105838776,0.0003542091427036348,0.9800033420324326,0.979251891374588
62,0.6406250049670538,0.6666666716337204,0.1310045142924951,0.7864583432674408,0.46875,0.7851971810062727,0.8199678212404251,0.1948623773377581,1.0045612454414368,0.531062476336956
